French,English,German
de,of,von
je,i,ich
est,east,ost
pas,not,nicht
le,the,der
que,that,das
la,there,dort
vous,you,du
tu,you,du
un,a,a
c',vs',vs '
à,has,hat
et,and,und
il,he,er
a,has,hat
l',l',l '
ne,born,geboren
les,the,der
j',i,ich
en,in,in
on,we,wir
ça,that,das
une,a,a
d',d ',d '
ce,this,das
qu',that,das
pour,for,für
ai,have,haben
n',not',nicht'
des,of the,des
qui,who,who
mais,but,aber
dans,in,in
nous,we,wir
elle,she,sie
me,me,mich
bien,good,gut
si,if,wenn
du,of,von
y,y,y
suis,am,bin
non,no,nein
t',t ',t '
avec,with,mit
tout,all,alle
plus,more,mehr
mon,my,mein
m',m ',m '
te,you,du
au,at,bei
fait,do,tun
moi,me,mich
s',s',s'
oui,yes,ja
va,go,gehen
était,was,war
as,as,als
faire,to do,machen
ils,they,sie
sur,on,an
quoi,what,was
se,se,se
comme,as,als
sais,know,wissen
être,be,sei
veux,want,wollen
ici,here,hier
ma,my,mein
toi,you,du
est-ce,is it,ist es
dit,said,sagte
lui,him,ihn
votre,your,dein
es,es,es
pourquoi,why,warum
où,or,oder
là,there,dort
rien,nothing,nichts
cette,this,das
sont,are,sind
quand,when,wann
peux,can,dürfen
dire,say,sagen
son,her,ihr
avez,have,haben
vais,go,gehen
alors,so,also
ton,your,dein
comment,how,wie
par,by,von
ou,or,oder
chose,thing,ding
bon,good,gut
ont,have,haben
merci,thanks,danke
juste,just,nur
très,very,sehr
jamais,never,niemals
été,summer,sommer
aussi,also,auch
avoir,to have,haben
vraiment,really,wirklich
voir,see,sehen
même,even,sogar
sa,her,ihr
oh,oh,oh
maintenant,now,jetzt
tous,all,alle
peut,can,dürfen
deux,two,zwei
ces,these,diese
êtes,are,sind
allez,go on,mach weiter
ta,your,dein
autre,other,andere
peu,little,wenig
temps,time,zeit
quelque,some,manche
fais,do ,tun 
toujours,always,stets
encore,again,wieder
notre,our,unser
mes,my,mein
besoin,need,brauchen
avait,had,hatte
accord,agreement,vereinbarung
faut,must,muss
dois,must,muss
vie,life,leben
peut-être,maybe,vielleicht
aller,go,gehen
fois,times,mal
vu,seen,gesehen
donc,so,also
sans,without,ohne
monde,world,welt
étais,is,ist
parce,because,weil
avant,before,vor
sûr,on,an
trop,too much,zu viel
quelqu',someone,jemand
parler,talk,sprechen
personne,person,person
avais,had,hatte
père,father,vater
crois,believe,glauben
après,after,nach
aux,to,zu
dieu,god,gott
ouais,yeah,ja
ses,his,sein
pense,think,denken
eu,eu,eu
aime,love,liebe
leur,their,ihre
homme,man,mann
viens,come,kommen
vrai,true,wahr
femme,women,frauen
ok,ok,ok
doit,must,muss
veut,wanna,will
ans,years,jahre
m.,m.,m.
mal,wrong,falsch
